City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
416,Santa Isabel Do Rio Negro,BR,70.86,overcast clouds,-0.4139,-65.0192,Hotel Maikon
417,Hambantota,LK,82.74,light rain,6.1241,81.1185,Oasis Aurweda Resort Hambathota
419,General Roca,AR,70.47,light rain,-39.0333,-67.5833,Hotel Austral
424,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,Hotel Forum
430,Manta,EC,74.84,overcast clouds,-0.95,-80.7333,La Gaviota
432,Auki,SB,81.23,heavy intensity rain,-8.7676,160.7034,No hotel found
436,Grand-Santi,GF,70.21,overcast clouds,4.25,-54.3833,No hotel found
438,Sawakin,SD,70.47,broken clouds,19.1059,37.3321,Hotel Halfa
439,Dinajpur,BD,71.33,clear sky,25.6272,88.6386,No hotel found
440,Prainha,BR,72.09,overcast clouds,-1.8,-53.48,No hotel found
441,Merauke,ID,85.89,overcast clouds,-8.4667,140.3333,No hotel found
446,Beira,MZ,82.49,light rain,-19.8436,34.8389,Hotel Savoy
450,Bandarbeyla,SO,77.49,broken clouds,9.4942,50.8122,No hotel found
453,Bonfim,BR,74.68,overcast clouds,3.0833,-59.95,No hotel found
455,Santa Fe,AR,88.0,light rain,-31.6333,-60.7,Intersur Hotel
462,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Hospedaje Calle del Sol
464,Isabela,PH,87.85,broken clouds,6.7085,121.9711,No hotel found
465,Puerto Gaitan,CO,77.63,overcast clouds,4.3133,-72.0816,No hotel found
467,Marzuq,YE,72.3,clear sky,14.4,46.4667,No hotel found
468,Vangaindrano,MG,79.27,light rain,-23.35,47.6,Fanilo
470,Kirakira,SB,80.82,overcast clouds,-10.4544,161.9205,No hotel found
473,The Valley,AI,76.86,few clouds,18.217,-63.0578,CeBlue
475,Port Augusta,AU,77.22,overcast clouds,-32.5,137.7667,Hotel Commonwealth
484,Sao Joao Da Barra,BR,74.01,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
485,Indramayu,ID,81.9,overcast clouds,-6.3264,108.32,No hotel found
486,Sinnamary,GF,75.56,overcast clouds,5.3833,-52.95,Hôtel du fleuve
488,Simbahan,PH,81.23,overcast clouds,6.3032,120.5836,No hotel found
491,Capitao Poco,BR,70.63,overcast clouds,-1.7464,-47.0594,No hotel found
